iter	Logloss
0	0.6865994083
1	0.6803330139
2	0.6743247691
3	0.6688199645
4	0.6632246192
5	0.6583033522
6	0.653851036
7	0.6497534537
8	0.6456935994
9	0.6423160191
10	0.6386293719
11	0.6355953224
12	0.6326520788
13	0.6295723399
14	0.6268385063
15	0.6248125639
16	0.6224951036
17	0.6193833262
18	0.6175459687
19	0.6155437978
20	0.6136900926
21	0.611334124
22	0.6090421
23	0.6075530158
24	0.6060460865
25	0.6047244973
26	0.6034849501
27	0.6021614359
28	0.6007973664
29	0.5995080065
30	0.5976267879
31	0.5967078677
32	0.5955298501
33	0.5948148777
34	0.5936547413
35	0.5929551279
36	0.5921889531
37	0.5912461046
38	0.590496832
39	0.5895927262
40	0.58892739
41	0.5883533446
42	0.5879046765
43	0.586711189
44	0.5860049367
45	0.5851035354
46	0.5846806331
47	0.5840001824
48	0.5836536163
49	0.5829850521
50	0.5824858641
51	0.5818593956
52	0.581328656
53	0.5808133399
54	0.5803834102
55	0.5800659884
56	0.579671865
57	0.5792004879
58	0.5787421466
59	0.5785106365
60	0.5779989401
61	0.5774067797
62	0.5770400592
63	0.5765803304
64	0.5761825608
65	0.5756735022
66	0.5752584967
67	0.5747655509
68	0.5743611777
69	0.5742147869
70	0.5738436726
71	0.5732592346
72	0.5727099344
73	0.5720556638
74	0.5716019118
75	0.571013839
76	0.5706298889
77	0.5703207017
78	0.5699898338
79	0.5697013687
80	0.5695365766
81	0.5691117718
82	0.5689158584
83	0.5687281004
84	0.5682790781
85	0.5680425192
86	0.5676392807
87	0.5673114479
88	0.5669383831
89	0.5664971994
90	0.566393046
91	0.566268687
92	0.565767058
93	0.5655623809
94	0.5654821905
95	0.5651728761
96	0.5648875783
97	0.564767238
98	0.5646998901
99	0.5644747319
100	0.5643137872
101	0.5640999865
102	0.5639651201
103	0.5638308243
104	0.5635336625
105	0.5630840291
106	0.5629253798
107	0.5627172886
108	0.5625410551
109	0.5623045216
110	0.5619414534
111	0.5617080663
112	0.5613168296
113	0.561041162
114	0.560874719
115	0.5604566358
116	0.560341914
117	0.5601270008
118	0.5599022631
119	0.559702057
120	0.5594967321
121	0.559336499
122	0.5591349966
123	0.5587985267
124	0.5587857969
125	0.5583607646
126	0.5581658221
127	0.5580018514
128	0.5578239676
129	0.5576669582
130	0.5574561363
131	0.5572548319
132	0.5571713205
133	0.5570560028
134	0.556826245
135	0.5566806147
136	0.5565135871
137	0.5562856593
138	0.5561499966
139	0.5558706206
140	0.5557307063
141	0.5556298704
142	0.5555044313
143	0.555423824
144	0.5553090056
145	0.5551796756
146	0.554945802
147	0.5548289652
148	0.5545449247
149	0.5543932818
150	0.5539152894
151	0.5538574189
152	0.5537166622
153	0.5535243561
154	0.5533240262
155	0.5531781499
156	0.5530036076
157	0.5525379146
158	0.552398563
159	0.5521076109
160	0.5519443544
161	0.5517362207
162	0.5515055616
163	0.5513612722
164	0.5512791097
165	0.551203089
166	0.5511401486
167	0.5510946511
168	0.5509285521
169	0.5506311584
170	0.5504373254
171	0.5503273363
172	0.5499286913
173	0.5496233373
174	0.5490932692
175	0.5487954707
176	0.548651746
177	0.5483086598
178	0.5481888293
179	0.5480682543
180	0.5479762269
181	0.5478955135
182	0.547724291
183	0.5475916929
184	0.5474046195
