iter	Passed	Remaining
0	71	35924
1	108	27116
2	133	22080
3	162	20107
4	195	19359
5	221	18202
6	247	17432
7	281	17306
8	306	16727
9	332	16314
10	366	16282
11	389	15824
12	412	15443
13	439	15247
14	471	15246
15	498	15075
16	519	14756
17	548	14676
18	574	14554
19	591	14207
20	607	13852
21	624	13572
22	646	13417
23	670	13292
24	694	13193
25	710	12958
26	732	12825
27	747	12606
28	766	12443
29	788	12354
30	810	12269
31	828	12120
32	849	12028
33	870	11926
34	892	11860
35	908	11707
36	929	11627
37	951	11573
38	974	11523
39	1002	11530
40	1029	11526
41	1050	11458
42	1077	11447
43	1100	11400
44	1122	11352
45	1151	11367
46	1181	11391
47	1207	11372
48	1231	11338
49	1255	11297
50	1281	11280
51	1307	11266
52	1336	11272
53	1370	11318
54	1398	11313
55	1422	11278
56	1444	11228
57	1472	11222
58	1505	11251
59	1530	11220
60	1561	11236
61	1586	11210
62	1615	11203
63	1644	11203
64	1677	11225
65	1715	11280
66	1743	11268
67	1771	11253
68	1798	11235
69	1833	11260
70	1860	11243
71	1887	11219
72	1921	11237
73	1949	11223
74	1982	11231
75	1984	11069
76	2014	11065
77	2042	11049
78	2073	11052
79	2103	11045
80	2129	11015
81	2148	10950
82	2175	10929
83	2209	10944
84	2237	10922
85	2261	10886
86	2286	10855
87	2312	10827
88	2338	10800
89	2361	10757
90	2383	10711
91	2416	10716
92	2467	10798
93	2496	10783
94	2542	10839
95	2577	10845
96	2610	10844
97	2634	10805
98	2660	10774
99	2697	10789
100	2723	10760
101	2743	10706
102	2759	10637
103	2786	10610
104	2817	10599
105	2840	10556
106	2862	10512
107	2882	10463
108	2906	10425
109	2929	10386
110	2954	10352
111	2982	10333
112	3009	10306
113	3029	10257
114	3050	10212
115	3077	10186
116	3107	10173
117	3130	10134
118	3155	10104
119	3182	10079
120	3206	10043
121	3229	10006
122	3251	9966
123	3274	9927
124	3299	9898
125	3318	9849
126	3344	9823
127	3366	9783
128	3388	9744
129	3401	9681
130	3424	9645
131	3446	9607
132	3470	9577
133	3497	9553
134	3519	9515
135	3542	9481
136	3557	9426
137	3573	9373
138	3599	9347
139	3623	9318
140	3645	9280
141	3668	9248
142	3691	9216
143	3712	9177
144	3734	9143
145	3752	9097
146	3768	9050
147	3790	9014
148	3807	8969
149	3826	8929
150	3852	8903
151	3875	8872
152	3900	8847
153	3921	8811
154	3944	8779
155	3963	8739
156	3984	8704
157	4006	8671
158	4027	8637
159	4048	8603
160	4070	8571
161	4091	8536
162	4113	8505
163	4136	8473
164	4158	8443
165	4179	8408
166	4202	8379
167	4229	8357
168	4250	8325
169	4275	8300
170	4300	8273
171	4320	8239
172	4347	8216
173	4368	8184
174	4390	8153
175	4412	8122
176	4433	8091
177	4456	8061
178	4482	8038
179	4503	8006
180	4531	7986
181	4559	7966
182	4585	7942
183	4606	7910
184	4627	7879
185	4652	7854
186	4678	7831
187	4700	7800
188	4726	7776
189	4758	7763
190	4782	7737
191	4811	7718
192	4846	7709
193	4867	7677
194	4892	7652
